id,municipio,municipio_uf,latitude,longitude,uf
879,ABADIA DE GOIAS,ABADIA DE GOIAS - GO,-16.75,-49.43,GO
1338,ABADIA DOS DOURADOS,ABADIA DOS DOURADOS - MG,-18.48,-47.4,MG
880,ABADIANIA,ABADIANIA - GO,-16.2,-48.7,GO
1339,ABAETE,ABAETE - MG,-19.16,-45.44,MG
2394,ABAETETUBA,ABAETETUBA - PA,-1.71,-48.88,PA
617,ABAIARA,ABAIARA - CE,-7.35,-39.04,CE
202,ABAIRA,ABAIRA - BA,-13.25,-41.66,BA
203,ABARE,ABARE - BA,-8.72,-39.11,BA
3166,ABATIA,ABATIA - PR,-23.3,-50.31,PR
4358,ABDON BATISTA,ABDON BATISTA - SC,-27.61,-51.02,SC
2395,ABEL FIGUEIREDO,ABEL FIGUEIREDO - PA,-4.95,-48.39,PA
4359,ABELARDO LUZ,ABELARDO LUZ - SC,-26.56,-52.32,SC
1340,ABRE CAMPO,ABRE CAMPO - MG,-20.3,-42.47,MG
2760,ABREU E LIMA,ABREU E LIMA - PE,-7.91,-34.9,PE
5371,ABREULANDIA,ABREULANDIA - TO,-9.62,-49.15,TO
1341,ACAIACA,ACAIACA - MG,-20.36,-43.14,MG
1121,ACAILANDIA,ACAILANDIA - MA,-4.94,-47.5,MA
204,ACAJUTIBA,ACAJUTIBA - BA,-11.66,-38.01,BA
2396,ACARA,ACARA - PA,-1.96,-48.19,PA
618,ACARAPE,ACARAPE - CE,-4.22,-38.7,CE
619,ACARAU,ACARAU - CE,-2.88,-40.12,CE
3656,ACARI,ACARI - RN,-6.43,-36.63,RN
2945,ACAUA,ACAUA - PI,-8.21,-41.08,PI
620,ACOPIARA,ACOPIARA - CE,-6.09,-39.45,CE
2268,ACORIZAL,ACORIZAL - MT,-15.2,-56.36,MT
1,ACRELANDIA,ACRELANDIA - AC,-9.82,-66.88,AC
881,ACREUNA,ACREUNA - GO,-17.39,-50.37,GO
3657,ACU,ACU - RN,-5.57,-36.9,RN
1342,ACUCENA,ACUCENA - MG,-19.07,-42.54,MG
4726,ADAMANTINA,ADAMANTINA - SP,-21.68,-51.07,SP
882,ADELANDIA,ADELANDIA - GO,-16.41,-50.16,GO
4727,ADOLFO,ADOLFO - SP,-21.23,-49.64,SP
3167,ADRIANOPOLIS,ADRIANOPOLIS - PR,-24.65,-48.99,PR
205,ADUSTINA,ADUSTINA - BA,-10.53,-38.1,BA
2761,AFOGADOS DA INGAZEIRA,AFOGADOS DA INGAZEIRA - PE,-7.75,-37.63,PE
3658,AFONSO BEZERRA,AFONSO BEZERRA - RN,-5.49,-36.5,RN
